Date,City,Cause of Death
01/09/2003,San Geronimo De Paclas -  Luya -  Amazonas -  Peru,Air Accident
06/01/2003,Peru,Other Accident
12/06/2003,Lima -  Peru,Veh. Accident-Auto
02/20/2004,Chancay Province -  Peru,Veh. Accident-Bus
03/24/2004,Cascas -  Trujillo -  Peru,Other Accident
06/03/2004,Av. Del Parque -  La Molina -  Lima -  Peru,Other Accident
02/09/2005,Callao -  Peru,Other Accident
08/23/2005,Pucallpa -  Peru,Air Accident
08/23/2005,Pucallpa -  Peru,Air Accident
03/01/2006,San Jeronimo -  Cusco -  Peru,Other Accident
03/01/2006,San Jeronimo -  Cusco -  Peru,Other Accident
03/31/2006,Kayllapampa-quiquijana Cusco -  Peru,Drowning
03/31/2006,Kayllapampa-quiquijana Cusco -  Peru,Drowning
05/14/2006,Juliaca -  Puno -  Peru,Other Accident
05/24/2006,Talara -  Peru,Drowning
03/11/2007,Panamericana Sur -  Lurin -  Peru,Other Accident
04/22/2007,Cusco -  Cusco -  Peru,Suicide
08/30/2007,Pucallpa -  Ucayali -  Peru,Drug-Related
11/04/2007,Paucartambo -  Cuzco -  Peru,Other Accident
01/03/2008,Cabanaconde -  Arequipa -  Peru,Other Accident
07/05/2008,Abancay -  Peru,Other Accident
01/03/2009,Lima -  Peru,Other Accident
03/19/2009,Lima -  Peru,Other Accident
03/19/2009,Lima -  Peru,Other Accident
04/13/2009,Lima -  Peru,Homicide
06/01/2009,Lima -  Peru,Veh. Accid-Bus
06/01/2009,Lima -  Peru,Veh. Accid-Bus
05/22/2010,Iquitos -  Peru,Drowning
06/03/2010,Caraz - Huaraz -  Peru,Other Accident
07/31/2010,Nevado Yanapaccha -  Huaraz -  Peru,Other Accident
08/01/2010,Morococha -  La Oroya -  Peru,Other Accident
08/27/2010,Lima -  Peru,Homicide
09/19/2010,Carreratera Oxapampa -  Oxapampa-Pozuzo -  Peru,Veh. Accid-Auto
11/04/2010,Chaclacayo -  Peru,Veh. Accid-Other
05/07/2011,Ilo - Moquegua -  Peru,Homicide
05/25/2011,Lima -  Peru,Suicide
10/20/2011,Niraco -  Arequipa -  Peru,Veh. Accid-Auto
02/26/2012,Iquitos -  Peru,Suicide
07/14/2012,Huaraz -  Ancash -  Peru,Other Accident
07/14/2012,Huaraz -  Ancash -  Peru,Other Accident
08/28/2012,Calca -  Cusco -  Peru,Vehicle Accident - Auto
08/28/2012,Calca -  Cusco -  Peru,Vehicle Accident - Auto
09/15/2012,Cusco -  Cusco -  Peru,Vehicle Accident - Motorcycle
10/07/2012,Lima -  Peru,Suicide
12/18/2012,Cusco -  Cusco -  Peru,Drowning
12/27/2012,Huarmey -  Ancash -  Peru,Other Accident
01/01/2013,Cusco -  Peru,Other Accident
01/07/2013,Yarinacocha -  Ucayalli -  Peru,Air Accident
01/07/2013,Yarinacocha -  Ucayalli -  Peru,Air Accident
01/07/2013,Yarinacocha -  Ucayalli -  Peru,Air Accident
01/07/2013,Yarinacocha -  Ucayalli -  Peru,Air Accident
01/07/2013,Yarinacocha -  Ucayalli -  Peru,Air Accident
01/23/2013,Lima -  Peru,Other Accident
02/15/2013,Cusco -  Peru,Suicide
02/16/2013,Lima -  Peru,Suicide
03/22/2013,Paracas -  Peru,Suicide
05/19/2013,Lima -  Peru,Drug-Related
06/02/2013,Cusco -  Peru,Suicide
09/01/2013,La Victoria -  San Luis -  Lima -  Peru,Homicide
10/22/2013,Lima -  Peru,Suicide
10/27/2013,Miraflores -  Lima -  Peru,Suicide
11/05/2013,La Estancia -  San Martin -  Peru,Veh. Accid-Motorcy.
05/02/2014,Lima,Suicide
07/14/2014,Nevado Piramide - Caraz - Huaylas -  Ancash,Other Accident
10/31/2014,Taller Bazan - Barranca - Lima,Homicide
12/17/2014,Chuquibambilla - Apurimac,Veh. Accid-Auto
02/14/2015,Sullana -  Piura,Veh. Accid-Auto
06/10/2015,Mancora -  Piura,Suicide
07/13/2015,Lima,Other Accident
08/04/2015,Lima,Suicide
01/01/2016,Cajamarca,Other Accident
01/04/2016,Lima,Veh. Accid-Auto
01/17/2016,Tumbez,Veh. Accid-Auto
04/10/2016,Iquitos,Other Accident
04/10/2016,Iquitos,Other Accident
05/20/2016,San Martin,Suicide
08/14/2016,Yanque -  Arequipa,Disaster
08/20/2016,Calca -  Cusco,Other Accident
08/20/2016,Pisco -  Ica,Drowning
09/21/2016,Ollantantambo -  Cusco,Other Accident
09/22/2016,Cusco,Suicide
11/15/2016,Lima,Suicide
12/08/2016,Iquitos -  Loreto,Drug-Related
01/15/2017,Lima,Suicide
01/24/2017,Lima,Suicide
01/24/2017,Lima,Suicide
03/01/2017,Cusco,Other Accident
06/19/2017,Lima,Homicide
06/21/2017,Lima,Veh. Accid-Auto
06/24/2017,Cusco,Other Accident
07/22/2017,Caraz -  Ancash,Other Accident
12/19/2017,Lima,Homicide
04/26/2018,Huarochiri -  Lima,Other Accident



