Date,City,Cause of Death
11/18/2002,Las Pinas City -  Philippines,Homicide
12/10/2002,Calamba City -  Laguna -  Philippines,Homicide
01/15/2003,Karuhatan -  Valenzuela City -  Philippines,Suicide
01/21/2003,Sabang -  Sibonga -  Cebu -  Philippines,Veh. Accident-Pedestrian
03/04/2003,Davao City -  Philippines,Terrorist Action
04/02/2003,Silang -  Cavite -  Philippines,Air Accident
04/17/2003,Brgy. 8 Laoag City Ilocos Norte -  Philippines,Other Accident
04/25/2003,Lupi -  Camarines Sur -  Philippines,Veh. Accident-Auto
04/25/2003,Lupi -  Camarines Sur -  Philippines,Veh. Accident-Auto
04/30/2003,San Leonardo -  Nueva Ecija -  Philippines,Homicide
05/06/2003,Angeles City -  Pampanga -  Philippines,Suicide
06/14/2003,Laoag City -  Ilocos Norte -  Philippines,Veh. Accident-Motorcycle
07/04/2004,North Luzon Expressway -  Dampol 1st -  Pulilan Bulacan -  Phillipines,Veh. Accident-Auto
10/01/2004,San Narciso -  Zambales -  Philippines,Veh. Accid
10/23/2004,San Ildefonso -  Ilocos Sur -  Philippines,Homicide
11/20/2004,San Fernando -  La Union -  Philippines,Veh. Accident
11/23/2004,Carmen -  Davao Del Norte -  Philippines,Homicide
12/03/2004,Dauin -  Negros Oriental -  Philippines,Homicide
03/28/2005,Paranague City -  Philippines,Veh. Accident-Auto
04/23/2005,Angeles City -  Pampanga -  Philippines,Suicide
06/08/2005,Makati City -  Philippines,Homicide
06/28/2005,Poblacion -  Pulilan -  Bulacan -  Philippines,Homicide
07/16/2005,Iloilo -  Philippines,Homicide
07/25/2005,Pampanga -  Philippines,Suicide
07/30/2005,Manila -  Philippines,Homicide
09/13/2005,Calapandayan -  Subic -  Zambales -  Philippines,Homicide
09/16/2005,Calbayog -  Samar -  Philippines,Homicide
11/03/2005,Iba -  Zambales -  The Philippines,Suicide
11/22/2005,Dumaguete City -  Negros Oriental -  The Philippines,Homicide
12/12/2005,Pampanga -  Philippines,Homicide
12/22/2005,Manila -  Philippines,Veh. Accident-Auto
