Date,City,Cause of Death
05/28/2003,Sandomierz -  Poland,Other Accident
07/16/2003,Gdynia -  Poland,Veh. Accident-Auto
02/25/2004,Wroclaw -  Poland,Suicide
02/29/2004,Katowic-ochojec -  Poland,Homicide
07/24/2004,Krzywa -  Poland,Veh. Accident
09/04/2004,Chrosnica -  Poland,Drowning
11/08/2004,Swieta Kataryzna -  Poland,Suicide
11/22/2004,Wroclaw -  Poland,Suicide
07/03/2005,Krakow -  Poland,Other Accident
07/04/2005, gliwice -  Poland,Other Accident
08/04/2005,Poznan -  Poland,Suicide
08/19/2005,The Intersection Of The Streets Warsaw-rembertow -  Warsaw -  Poland,Veh. Accident-Auto
10/18/2005,The Goclaw Channel -  Warsaw -  Poland,Drowning
07/10/2006,Dolnoslaskie -  Poland,Suicide
08/26/2006,Jeleniowo -  Drwierzuty -  Poland,Drowning
09/07/2006,Warsaw -  Poland,Homicide
03/11/2007,Puszcza Kampinoska -  Mariew -  Poland,Suicide
09/22/2007,Ostrowiec Swietokryski -  Poland,Veh. Accid-Auto
01/08/2008,Nieborow -  Poland,Suicide
02/08/2008,Bagienice -  Poland,Suicide
08/18/2008,Murczyin -  Poland,Veh. Accid-Auto
08/18/2008,Murczyin -  Poland,Veh. Accid-Auto
08/18/2008,Murczyn -  Poland,Veh. Accid-Auto
08/18/2008,Murczyn -  Poland,Veh. Accid-Auto
09/03/2008,Dobrzewino -  Poland,Suicide
11/17/2008,Sluzejow -  Poland,Suicide
01/25/2009,Mragowo -  Poland,Other Accident
02/14/2009,Lodz -  Poland,Suicide
06/20/2009,Jedrzychowice -  Poland,Veh. Accid-Auto
07/23/2009,Sulkowice -  Poland,Suicide
08/03/2009,Skierniewice. Poland,Veh. Accid-Auto
11/18/2009,Wroclaw -  Poland,Suicide
04/27/2010,Poznan -  Poland,Other Accident
07/19/2010,Krakow -  Poland,Veh. Accid-Auto
11/18/2010,Szczawno Zdroj -  Poland,Suicide
01/01/2011,Sopot -  Poland,Suicide
07/29/2011,Jablonowo Pomorskie -  Poland,Suicide
09/20/2011,Gdansk -  Poland,Suicide
03/03/2012,Chalupki -  Chalupki -  Poland,Vehicle Accident - Train
09/13/2012,Oleksin -  Poland,Vehicle Accident - Pedestrian
05/05/2013,Nur -  Poland,Suicide
08/31/2013,Warsaw -  Poland,Veh. Accid-Motorcy.
09/26/2013,Lopon -  Poland,Veh. Accid-Auto
03/22/2014,Psary,Suicide
10/30/2014,Gdansk,Suicide
11/16/2014,Mszczonow,Veh. Accid-Auto
11/20/2014,Sokolka,Other Accident
04/25/2015,Wroclaw,Suicide
06/02/2015,Pruszkow,Homicide
06/08/2015,Krakow -  Malopolska,Drowning
10/10/2015,Wierzchoslaw,Suicide
10/28/2015,Warsaw,Suicide
02/15/2016,Raciborz,Suicide
01/09/2017,Warsaw,Veh. Accid-Pedestr.
06/27/2017,Lublin,Suicide
08/08/2017,Tychy,Veh. Accid-Auto
12/06/2017,Warsaw,Veh. Accid-Pedestr.
01/16/2018,Warsaw -  Masovia,Suicide
06/29/2018,Jablonka -  Lesser Poland Voivodeship,Veh. Accid-Auto



