Date,City,Cause of Death
02/06/2004,Moorea -  Tahiti -  French Polynesia,Drowning
04/09/2004,Moorea -  Tahiti -  French Polynesia,Drowning
07/21/2004,Tahiti -  French Polynesia,Drowning
01/21/2005,Uturoa -  Raiatea -  Tahiti -  French Polynesia,Drowning
01/22/2005,Island Of Raiatea -  Tahiti -  French Polynesia,Drowning
04/02/2005,Vaitape -  Borabora -  French Polynesia,Drowning
11/20/2005,Huahine -  Tahiti -  French Polynesia,Drowning
11/20/2005,Huahine -  Tahiti -  French Polynesia,Drowning
04/18/2016,Tahiti -  French Polynesia -  France,Drowning



