Date,City,Cause of Death
11/04/2003,Parrish Of Pena -  Lisboa -  Portugal,Homicide
11/04/2003,Sao Miguel -  Azores -  Portugal,Suicide
10/23/2004,Porto -  Portugal,Suicide
10/23/2004,Porto -  Portugal,Suicide
05/13/2005,S Joao Do Estoril -  Portugal,Train Accident
09/29/2006,Azores -  Portugal,Other Accident
12/19/2008,Oliveira De Frades - oliveira De Frades -  Portugal,Veh. Accid-Auto
12/19/2008,Oliveira De Frades - oliveira De Frades -  Portugal,Veh. Accid-Auto
11/19/2009,Lisbon -  Portugal,Drug-Related
12/04/2009,Bombarral - Bombarral -  Portugal,Homicide
04/16/2010,Sao Paio -  Portugal,Disaster
07/29/2010,Torres Vedras -  Portugal,Veh. Accid-Motorcy.
10/23/2010,Lisbon -  Portugal,Suicide
10/26/2010,Lisboa -  Portugal,Other Accident
07/19/2011,Concelho De Faro -  Faro-Se -  Portugal,Veh. Accid-Auto
09/18/2011,Amada -  Portugal,Other Accident
09/15/2012,Celorico Da Beira -  Portugal,Vehicle Accident - Auto
09/20/2012,Faro -  Portugal,Other Accident
09/24/2012,Pousos -  Portugal,Other Accident
05/31/2013,Lagos -  Portugal,Suicide
07/17/2013,Barcelos -  Portugal,Veh. Accid-Other
01/08/2014,Alcobaca,Other Accident
08/15/2014,Aveiro,Suicide
10/02/2014,Lisbon,Other Accident
10/19/2014,Setubal,Other Accident
09/23/2015,Portimao,Other Accident
05/20/2016,Viseu,Veh. Accid-Auto
06/27/2016,Vila Real,Other Accident



