Date,City,Cause of Death
02/10/2004,Doha -  Qatar,Veh. Accident-Auto
09/06/2004,Doha -  Qatar,Veh. Accident-Other
02/09/2007,Doha -  Qatar,Other Accident
12/29/2007,Doha -  Qatar,Veh. Accid-Auto
04/13/2008,Al Khor -  Qatar,Suicide
06/26/2010,Doha -  Qatar,Maritime Accident
02/02/2011,Doha -  Qatar,Suicide
05/05/2011,Doha -  Qatar,Other Accident
05/28/2012,Doha -  Qatar,Other Accident
06/28/2012,Doha -  Qatar,Drowning
09/11/2012,Al Wakra -  Qatar,Homicide
09/11/2012,Al Wakra -  Qatar,Homicide
09/11/2012,Al Wakra -  Qatar,Homicide
09/11/2012,Al Wakra -  Qatar,Homicide
10/07/2012,Doha -  Qatar,Suicide
11/15/2012,Doha -  Qatar,Homicide
10/13/2013,Doha -  Qatar,Veh. Accid - Auto
02/14/2015,DOHA,Veh. Accid-Auto
12/21/2016,Doha,Veh. Accid
02/25/2017,Doha,Suicide



