Date,City,Cause of Death
10/08/2002,Pietroasele -  Romania,Veh. Accident-Auto
11/02/2002,Bucharest -  Romania,Homicide
01/17/2003,Bucharest -  Romania,Other Accident
01/27/2003,Vilcea County -  Romania,Other Accident
12/08/2004,Bacau -  Romania,Suicide
02/11/2005,Bucharest -  Romania,Veh. Accident-Auto
07/13/2005,Bucharest -  Romania,Suicide
08/22/2005,Mihai Viteazu -  Constanta -  Romania,Veh. Accident-Auto
11/19/2005,Danube River -  Near Tulcea -  Romania,Maritime Accident
06/23/2007,Busteni -  Romania,Other Accident
01/30/2010,Timisoara - Timis,Other Accident
01/30/2010,Timisoara - Timis,Other Accident
09/30/2010,Prahova -  Romania,Suicide
05/22/2011,Hunedoara County -  Romania,Other Accident
10/09/2011,Bucharest -  Romania,Homicide
04/06/2012,Sibiu -  Romania,Vehicle Accident - Auto
06/20/2013,Bucharest -  Romania,Suicide
06/20/2013,Curtea De Arges -  Romania,Suicide
08/04/2013,Neamt County -  Romania,Veh. Accid-Auto
10/06/2013,Drobeta-Turnu-Severin -  Mehedinti -  Romania,Other Accident
09/30/2014,Bucharest,Suicide
12/21/2015,Bucharest,Other Accident
09/14/2017,Lugoj -  Timis,Veh. Accid-Auto
09/14/2017,Lugoj -  Timis,Veh. Accid-Auto
05/16/2018,Blajel -  Sibiu County,Suicide
06/06/2018,Bucegi Mountains -  Busteni - Prahova,Other Accident



