Date,City,Cause of Death
10/26/2002,Moscow -  Russia,Terrorist Action
02/05/2003,Rostov-na-don -  Russia,Other Accident
03/25/2003,Moscow -  Russia,Homicide
05/08/2003,Moscow -  Russia,Suicide
11/17/2003,Moscow -  Russia,Homicide
12/06/2003,Krasnoyarsk -  Russia,Veh. Accident-Auto
05/06/2004,Moscow -  Russia,Other Accident
06/01/2004,46th Km Of The Railway Leading To Vyritsa -  Lenigrad Region -  Russia,Train Accident
07/09/2004,Moscow -  Russia,Homicide
06/27/2005,Moscow -  Russia,Other Accident
12/07/2005,Moscow -  Russia,Homicide
06/02/2006,Tyumen -  Russia,Other Accident
08/07/2006,Moscow -  Russia,Veh. Accident-Auto
03/08/2007,Moscow City Highway -  27 Km -  Vidnoe -  Leninskiy District -  Moscow Region -  Russia,Veh. Accident-Auto
06/15/2007, kratovo -  Russia,Veh. Accident-Train
07/07/2007,Irkutsk -  Russia,Veh. Accid-Auto
07/08/2007,Anapa -  Russia,Drowning
07/12/2007,Vyborg District -  Leningrad Region -  Russia,Drowning-River
01/27/2008,Bolshaya Halan Village -  Russia,Suicide
07/19/2008,St Petersburg -  Russia,Suicide
07/17/2009,Sosnovskiy District - Chelyabinskaya Oblast -  Russia,Drowning
11/12/2009,St. Petersburg -  Russia,Suicide
11/26/2009,Moscow -  Russia,Other Accident
04/10/2010,Russia,Air Accident
06/16/2010,St. Petersburg -  Russia,Veh. Accid-Train
08/10/2010,Kolomna -  Russia,Suicide
08/17/2010,Chekhovsky Distirct - Moscow -  Russia,Other Accident
05/25/2011,Moscow -  Russia,Suicide
06/20/2011,Petrozavodsk - Republic Of Karelia -  Russia,Air Accident
06/20/2011,Petrozavodsk - Republic Of Karelia -  Russia,Air Accident
09/07/2011,Yeroslavl Region -  Russia,Air Accident
02/09/2012,St. Petersburg -  Russia,Suicide
03/06/2012,Yekaterinburg -  Sverdlovskaya Oblast -  Russia,Homicide
01/19/2013,Nizhniy Novgorod -  Russia,Suicide
04/02/2013,Vladivostok -  Russia,Veh. Accid-Pedestr.
08/05/2013,St. Petersburg -  Russia,Drug-Related
08/07/2013,Moscow -  Russia,Other Accident
11/21/2013,Irkutsk City -  Russia,Veh. Accid-Auto
01/01/2014,Moscow,Homicide
07/24/2014,Golchanovo Village,Veh. Accid-Other
09/21/2014,Kirovskiy District - Leningrad Region,Homicide
11/11/2014,Mosco,Suicide
07/14/2015,Andreyevka Village,Suicide
09/16/2015,Moscow,Other Accident
01/10/2016,St. Petersburg,Other Accident
02/10/2016,Nizhniy Novgorod,Other Accident
03/27/2016,Arshan -  Buryatia,Other Accident
07/22/2016,Moscow,Suicide
08/23/2016,Lakhdenpokhsky District -  Republic of Karelia,Veh. Accid-Auto
12/24/2016,Moscow,Suicide
12/25/2016,Black Sea,Air Accident
04/24/2017,Moscow,Other Accident
10/30/2017,Moscow,Other Accident
05/28/2018,Moscow -  Central District,Other Accident



