Date,City,Cause of Death
10/03/2002,Hofouf -  Eastern Province - saudi Arabia,Veh. Accident-Auto
12/03/2002,Taif -  Saudi Arabia,Veh. Accident-Auto
02/24/2003,Riyadh -  Saudi Arabia,Veh. Accident-Auto
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/12/2003,Riyadh -  Saudi Arabia,Terrorist Action
05/17/2003,Riyadh -  Saudi Arabia,Veh. Accident-Auto
05/27/2003,Riyadh -  Saudi Arabia,Terrorist Action
12/25/2003,Yanbu -  Saudi Arabia,Veh. Accident-Auto
05/01/2004,Yanbu -  Saudi Arabia,Terrorist Action
05/01/2004,Yanbu -  Saudi Arabia,Terrorist Action
05/29/2004,Alkhobar -  Saudi Arabia,Terrorist Action
06/08/2004,Riyadh -  Saudi Arabia,Terrorist Action
06/12/2004,Riyadh -  Saudi Arabia,Terrorist Action
01/12/2006,Makkah -  Saudi Arabia.,Other Accident
01/26/2007,Haradh/al-ahsa Road 5 Km -  Udhailiyah -  Eastern Province -  Saudi Arabia,Veh. Accident-Auto
02/24/2007, al-khobar -  Eastern Province,Homicide
06/16/2007,Dhahran -  Eastern Province -  Saudi Arabia,Veh. Accident-Auto
07/07/2007,Makkah -  Saudi Arabia.,Homicide
08/14/2007,Dhahran -  Eastern Province Saudi Arabia,Suicide
11/03/2007,Harad Dammam Road -  Udhailiyah -  Eastern Province,Veh. Accid-Auto
12/16/2007,Dharhan -  Eastern Province -  Saudi Arabia,Drowning
01/23/2008,Saudi Arabia,Veh. Accid-Auto
01/27/2008,Makkah Road -  Makkah -  Saudi Ararbia,Veh. Accid-Auto
12/05/2008,Tabuk -  Saudi Arabia,Suicide
05/29/2009,Jeddah -  Saudi Arabia,Veh. Accid-Auto
09/10/2009,Rabigh -  Saudi Arabia,Veh. Accid-Auto
09/10/2009,Rabigh -  Saudi Arabia,Veh. Accid-Auto
11/25/2009,Jeddah -  Saudi Arabia,Drowning
11/25/2009,Jubail -  Saudi Arabia,Veh. Accid-Pedestr.
03/26/2010,Khamis Mushayt -  Suadi Arabia,Drowning
06/18/2010,Dammam -  Suadi Arabia,Veh. Accid-Pedestr.
06/22/2010,Makkah -  Suadi Arabia,Other Accident
08/13/2010,Uray'Irah -  Uray'Irah -  Saudi Arabia,Veh. Accid-Auto
08/13/2010,Uray'Irah -  Uray'Irah -  Saudi Arabia,Veh. Accid-Auto
08/13/2010,Uray'Irah -  Uray'Irah -  Saudi Arabia,Veh. Accid-Auto
08/28/2010,Rabigh -  Rabigh -  Saudi Arabia,Veh. Accid-Auto
01/10/2011,Riyadh -  Saudi Arabia,Homicide
04/18/2011,Riyadh -  Saudi Arabia,Veh. Accid-Pedestr.
06/11/2011,Madinah -  Saudi Arabia,Suicide
07/09/2011,Al-Hofuf -  Al Hassa -  Saudi Arabia,Veh. Accid-Auto
07/22/2011,Al Khobar -  Saudi Arabia,Drowning
10/25/2011,Riyadh -  Saudi Arabia,Suicide
05/04/2012,Thuwal -  Saudi Arabia,Drowning
11/25/2012,Khamis Mushayt -  Saudi Arabia,Other Accident
12/24/2012,Dhahran -  Saudia Arabia,Vehicle Accident - Auto
12/26/2012,Riyadh -  Saudi Arabia,Vehicle Accident - Auto
01/24/2013,Madinah -  Saudi Arabia,Veh. Accid-Auto
02/12/2013,Taif -  Saudi Arabia,Veh. Accid-Auto
09/19/2013,Riyadh -  Central -  Saudi Arabia,Veh. Accid- Pedestr
01/07/2014,Bisha -  Asir,Suicide
07/06/2014,Jeddah,Veh. Accid-Auto
10/14/2014,Riyadh,Homicide
01/15/2015,Makarem Hotel -  Tabouk,Suicide
07/09/2015,Khamis Mushayt,Veh. Accid-Auto
09/14/2015,Dammam,Veh. Accid-Auto
09/14/2015,Dhahran,Veh. Accid-Auto
11/29/2015,Riyadh,Suicide
02/21/2016,Dhahran,Veh. Accid-Auto
04/12/2016,Madinah,Veh. Accid-Auto
04/12/2016,Madinah,Veh. Accid-Auto
06/20/2016,Riyadh,Veh. Accid-Auto
02/07/2017,Eastern Province,Unknown/Undetermined
03/04/2017,Riyadh,Unknown/Undetermined
07/24/2017,Makkah -  Makkah,Veh. Accid-Auto
08/18/2017,Riyadh -  Riyadh,Other Accident
08/28/2017,Makkah -  Makkah,Veh. Accid-Auto
10/28/2017,Jeddah -  Makkah,Veh. Accid-Pedestr.



