Date,City,Cause of Death
03/11/2003,Singapore,Suicide
04/01/2003,Singapore,Suicide
07/19/2006,Gallop Gables -  Singapore,Suicide
07/19/2006,Gallop Gables -  Singapore,Suicide
09/21/2006,Singapore,Other Accident - Fall
09/21/2006,Singapore,Other Accident-Fall
08/01/2007,Singapore,Drug-Related
08/03/2008,Siingapore -  Singapore,Suicide
01/02/2010,Singapore,Suicide
09/06/2010, Singapore -  Singapore,Other Accident
10/22/2010,Singapore -  Singapore,Veh. Accid-Motorcy.
11/24/2010,Singapore -  Singapore,Veh. Accid-Bus
05/08/2011,Singapore -  Singapore,Drowning
07/27/2011,Singapore -  Singapore,Suicide
01/01/2012,Singapore -  Singapore,Suicide
06/14/2012,Singapore -  Singapore,Suicide
08/16/2012,Singapore -  Singapore,Other Accident
11/21/2012,South China Sea -  Singapore,Drowning
04/28/2013,Singapore -  Singapore,Suicide
05/16/2013,Singapore -  Singapore,Suicide
05/31/2013,Singapore -  Singapore,Veh. Accid-Motorcy.
10/31/2013,Asia Garden -  Everton Park -  Singapore,Suicide
02/26/2014,Singapore,Suicide
01/01/2016,Singapore,Homicide



