Date,City,Cause of Death
11/18/2002,Umtata -  Transkei -  South Africa,Drowning
12/06/2002,Cape Town -  South Africa,Veh. Accident-Auto
08/08/2003,Lynnwood Road -  Pretoria -  South Africa,Veh. Accident-Auto
09/09/2003,Cape Town -  South Africa,Homicide
11/26/2003,Johannesburg -  South Africa,Veh. Accident-Auto
12/24/2003,Fish Hoek -  Cape Town -  South Africa,Drowning
03/23/2004,Kokstad - Rural Road -  South Africa,Veh. Accident-Auto
09/12/2004,Pretoria -  Gauteng -  South Africa,Other Accident
09/12/2004,Pretoria -  Gauteng -  South Africa,Other Accident
12/20/2004,Centurion -  Pretoria -  South Africa,Veh. Accident-Auto
03/10/2005,Durban -  South Africa,Homicide
05/29/2005,Porterville -  South Africa,Other Accident
06/07/2005,Cape Town -  South Africa,Homicide
08/29/2005,Poplars Farm -  Arum Road -  Gonubie -  East London -  South Africa,Other Accident
09/24/2005,Pretoria -  Gauteng -  South Africa,Homicide
10/03/2005,George -  South Africa,Air Accident
11/10/2005,Welgevonden Game Reserve -  South Africa,Other Accident
12/19/2005,Melville -  Johannesburg -  Gauteng -  South Africa,Veh. Accident-Pedestrian
01/18/2006,Durban -  South Africa,Other Accident
04/16/2006,Johannesburg -  Gauteng -  South Africa,Veh. Accident-Auto
04/23/2006,Watervol Boven -  Mpumalanga -  South Africa,Veh. Accident-Auto
09/24/2006,Donkerhoek -  Gauteng - south Africa,Homicide
10/09/2006,Berville -  Kwa Zulu -  Natal -  South Africa,Other Accident
10/10/2006,Ukhahlamba-drakensberg Park -  South Africa,Other Accident- Hiking
10/26/2006,Pretoria -  South Africa,Veh. Accident - Auto
01/27/2007,Pretoria -  Gauteng -  South Africa,Homicide
03/14/2007,Hermanus -  Western Province -  South Africa,Homicide
06/23/2007,Western Province -  South Africa,Veh. Accident-Auto
08/06/2007,Cape Town -  Western Cape -  South Africa,Other Accident
08/10/2007,Lephalale -  Limpopo -  South Africa,Veh. Accid-Auto
10/19/2007,Pretoria -  Gauteng -  South Africa,Suicide
04/13/2008,Hermanus -  Western Cape -  South Africa,Maritime Accident
04/13/2008,Hermanus -  Western Cape -  South Africa,Maritime Accident
07/10/2008,Witbank -  Mpumalanga -  South Africa,Other Accident
07/10/2008,Witbank -  Mpumalanga -  South Africa,Other Accident
07/10/2008,Witbank -  Mpumalanga -  South Africa,Other Accident
09/01/2008,Harkerville -  Western Province -  South Africa,Drowning
10/24/2008,Pretoria -  Gauteng -  South Africa,Veh. Accid-Pedestr.
01/25/2009,Grahamstown -  South Africa,Veh. Accid-Auto
04/05/2009,Port Elizabeth -  Eastern Cape -  South Africa,Veh. Accid-Auto
07/06/2009,Groblersburg - Limpopo Province -  South Africa,Veh. Accid-Auto
07/06/2009,Witpoort - Limpopo -  South Africa,Veh. Accid-Auto
12/17/2009,Durban -  South Africa,Homicide
04/11/2010,Green Point -  south Africa,Suicide
04/24/2010,South Africa,Veh. Accid-Auto
05/31/2010,Diepkloof - Gauteng,Other Accident
06/12/2010,Cape Town -  South Africa,Veh. Accid-Auto
06/16/2010,Cape Town  - Western Cape -  South Africa,Veh. Accid-Pedestr.
08/03/2010,Pietermaritzburg -  KZN -  South Africa,Other Accident
08/15/2011,Dulstroom -  Mpumalanga -  South Africa,Veh. Accid-Auto
03/01/2012,Johannesburg -  South Africa,Vehicle Accident - Auto
10/19/2012,Rustenburg -  North West -  South Africa,Vehicle Accident - Auto
10/19/2012,Rustenburg -  North West -  South Africa,Vehicle Accident - Auto
01/13/2013,Illovo -  Gauteng -  South Africa,Homicide
12/12/2013,Cape Town -  South Africa,Other Accident
01/26/2014,Port Elizabeth -  Eastern Cape,Suicide
07/02/2014,Johannesburg - Gauteng,Veh. Accid-Train
08/16/2014,Kwa Zulu Natal,Veh. Accid-Auto
08/16/2014,Kwa Zulu Natal,Veh. Accid-Auto
07/29/2015,Cape Town -  Western Cape ,Homicide
09/04/2015,Elliotdale -  Eastern Cape,Drowning
12/19/2015,Cape Town,Veh. Accid-Motorcy.
05/05/2016,Pretoria,Veh. Accid-Motorcy.
09/10/2016,HekpoortGauteng,Veh. Accid-Auto
09/16/2016,Bloemfontein Free State,Veh. Accid-Auto
09/16/2016,Bloemfontein Free State,Veh. Accid-Auto
11/13/2016,Linden -  Johannesburg Gauteng,Veh. Accid-Pedestr.
11/17/2016,Johannesburg -  Gauteng,Homicide
12/30/2016,Fresnaye -  Cape Town,Drowning
03/18/2017,Gauteng,Veh. Accid-Auto
01/14/2018,Cape Town -  Western Cape,Undetermined/Unknown
05/13/2018,Cape Town -  Western Cape,Undetermined/Unknown



