Date,City,Cause of Death
01/12/2003,Barcelona -  Spain,Veh. Accident-Auto
02/13/2003,Gran Via -  Madrid -  Spain,Veh. Accident-Auto
02/13/2003,Gran Via -  Madrid -  Spain,Veh. Accident-Auto
03/20/2003,Ronda -  Malaga -  Spain,Veh. Accident-Auto
05/06/2003,Highway Between Porreres And Montuiri -  Mallorca -  Spain,Veh. Accident-Auto
05/16/2003,Villafranca De Ebro -  Zaragoza -  Spain,Veh. Accident-Auto
08/08/2003,Granada -  Spain,Suicide
09/23/2003,Benalmadena -  Malaga -  Spain,Drowning
10/02/2003,El Alamo -  Madrid -  Spain,Suicide
02/18/2004,San Antonio -  Ibiza -  Spain,Other Accident
02/29/2004,Sant Cugat Del Valles (barcelona) -  Spain,Other Accident
03/04/2004,Madrid -  Spain,Suicide
03/04/2004,Sitges -  Barcelona -  Spain,Veh. Accident-Pedestrian
03/16/2004,Travessia Ses Cases Noves -  Palma De Mallorca -  Spain,Veh. Accident-Other
05/29/2004,Caladrones -  Huesca -  Spain,Veh. Accident-Auto
06/01/2004,Mesia -  A Coruna -  Spain,Veh. Accident-Auto
08/09/2004,Arico -  Tenerife -  Spain,Veh. Accident-Auto
08/09/2004,Arico -  Tenerife -  Spain,Veh. Accident-Auto
08/13/2004,San Javier -  Alicante -  Spain,Veh. Accident-Auto
08/13/2004,San Javier -  Alicante -  Spain,Veh. Accident-Auto
08/16/2004,Posada De Valdeon -  Leon -  Spain,Other Accident
08/16/2004,Posada De Valdeon -  Leon -  Spain,Other Accident
08/27/2004,Hospital Clinico -  Valencia -  Spain,Other Accident
08/27/2004,Valencia -  Spain,Other Accident
10/14/2004,Road N-111 -  Soria -  Spain,Veh. Accident-Auto
10/14/2004,Road N-111 -  Soria -  Spain,Veh. Accident-Auto
10/29/2004,Burgos -  Spain,Veh. Accident-Auto
10/29/2004,Burgos -  Spain,Veh. Accident-Auto
10/31/2004,Avila -  Spain,Veh. Accident-Auto
10/31/2004,Avila -  Spain,Veh. Accident-Auto
