Date,City,Cause of Death
12/26/2004,Arugambay -  Pothuvil -  Sri Lanka,Natural Disaster
12/26/2004,Karapitiya -  Sri Lanka,Natural Disaster
12/26/2004,Nilaveli -  Trincomalee -  Sri Lanka,Natural Disaster
12/26/2004,Nilaveli -  Trincomalee -  Sri Lanka,Natural Disaster
12/26/2004,Yala -  Sri Lanka,Natural Disaster
12/26/2004,Yala -  Sri Lanka,Natural Disaster
12/26/2004,Yala -  Sri Lanka,Natural Disaster
12/26/2004,Yala -  Sri Lanka,Natural Disaster
05/16/2012,Colombo -  Sri Lanka,Suicide
06/05/2013,K. Dhiffiushi -  Sri Lanka,Drowning
06/11/2013,Galle Harbour -  Sri Lanka,Maritime Accident
02/16/2015,Sri Lanka,Drowning
08/03/2015,Baa Atol Eydhafushi,Drowning
03/29/2016,Gamapaha,Homicide
03/07/2018,Kilinochchi -  Kilinochchi,Other Accident



