Date,City,Cause of Death
03/18/2004,Eskilstuna -  Sweden,Homicide
06/07/2007,Stockholm -  Sweden,Other Accident
06/27/2007,Solna -  Sweden,Other Accident
07/05/2007,Sundbyberg -  Sweden,Drug-Related
07/05/2007,Sundbyberg -  Sweden,Drug-Related
07/25/2007,Orebro -  Sweden,Veh. Accid-Motorcy.
02/08/2010,Stockholm -  Sweden,Other Accident
05/19/2010,Blasinge -  Sweden,Drug-Related
05/30/2010,Solna -  Sweden,Other Accident
06/02/2010,Solna -  Sweden,Drug-Related
07/28/2011,Stockholm -  Sweden,Veh. Accid-Pedestr.
09/26/2011,Tierp -  Sweden,Drug-Related
11/27/2011,Vastra Frolunda -  Sweden,Suicide
12/19/2011,Stockholm -  Sweden,Veh. Accid-Other
07/30/2012,Lysekil -  Sweden,Suicide
09/18/2012,Kungsbacka Fjord -  Halland -  Sweden,Drowning
03/02/2014,Vasteras,Veh. Accid-Pedestr.
05/26/2014,Linkoping,Other Accident
02/08/2015,Torsby,Suicide
04/09/2017,Gothenburg,Suicide
08/24/2017,Goteborg,Other Accident



