Date,City,Cause of Death
03/28/2003,Mount Pilatus -  Hergiswil -  Switzerland,Other Accident
06/17/2003,Gordola -  Verzasca Valley -  Ticino -  Switzerland,Other Accident
09/24/2003,Laupen -  Canton Bern -  Switzerland,Other Accident
09/30/2003,Goeschenen -  Canton Uri -  Switzerland,Other Accident
11/12/2004,Charmey -  Canton Fribourg -  Switzerland,Other Accident
01/27/2005,Forch -  Switzerland,Suicide
03/13/2006,Rinerhorn -  Davos -  Graubuenden -  Switzerland,Other Accident
02/05/2007,Bern -  Switzerland,Other Accident
05/25/2007,Zurich -  Switzerland,Suicide
09/07/2007,Bern -  Switzerland,Other Accident
03/14/2008,Zurich -  Switzerland,Suicide
03/22/2008,Bern -  Switzerland,Other Accident
08/07/2008,Zermatt -  Valais -  Switzerland,Other Accident
08/07/2008,Zermatt -  Valais -  Switzerland,Other Accident
01/19/2009,Oberentfelden -  Switzerland,Suicide
04/22/2009,Geneva -  Switzerland,Veh. Accid-Auto
07/15/2009,Ghazvin Province -  Switzerland,Air Accident
07/15/2009,Ghazvin Province -  Switzerland,Air Accident
07/15/2009,Ghazvin Province -  Switzerland,Air Accident
07/20/2009,Bern -  Switzerland,Other Accident
08/06/2009,Wohlen - Wohlen - Bern -  Switzerland,Suicide
08/28/2009,Bern -  Switzerland,Other Accident
10/26/2009,Zurich -  Switzerland,Other Accident
02/28/2010,Canton Valais -  Switzerland,Other Accident
04/23/2010,Leysin -  Switzerland,Other Accident
06/09/2010,Giswil-Lungern OW -  Switzerland,Other Accident
07/06/2010,Commune De Veytaux -  Switzerland,Drowning
09/22/2010,Denges -  Switzerland,Suicide
01/27/2011,Bern -  Switzerland,Suicide
02/24/2011,Zermatt - Valais -  Switzerland,Other Accident
03/20/2011,Bern -  Switzerland,Other Accident
08/24/2011,Bern -  Switzerland,Other Accident
10/30/2011,Zermatt -  Switzerland,Suicide
11/28/2011,Zermatt -  Switzerland,Other Accident
04/08/2012,Riva San Vitale -  Switzerland,Other Accident
07/08/2012,Darligen -  Switzerland,Other Accident
10/03/2012,Geneva -  Switzerland,Other Accident
08/06/2013,Haut-Intyamon -  Canton Fribourg -  Switzerland,Other Accident
09/19/2013,Lauterbrunnen -  Switzerland,Other Accident
02/18/2014,Sion -  Valais,Other Accident
04/05/2014,Roeschenz -  Basel-Country,Suicide
10/05/2014,Les Diablerets,Other Accident
10/21/2014,Geneva,Suicide
11/10/2014,Chemin De La Serin Gland,Suicide
12/03/2014,Bern,Suicide
02/27/2015,Pfaffikon,Suicide
03/06/2015,Pfaffikon,Suicide
03/13/2015,Pfaffikon,Suicide
04/09/2015,Pfaffikon,Suicide
05/29/2015,Pfaffikon,Suicide
06/10/2015,Pfaffikon,Suicide
06/18/2015,Pfaffikon,Suicide
07/02/2015,Pfaeffikon,Suicide
07/10/2015,Pfaffikon,Suicide
07/10/2015,Seedorf - Canton Uri,Other Accident
07/29/2015,Pfaffikon,Suicide
08/18/2015,Eptingen,Other Accident
09/10/2015,Lauterbrunnen,Other Accident
09/17/2015,Pfaffikon,Suicide
10/01/2015,Gitschen - Seedorf UR,Other Accident
10/23/2015,Pfaffikon,Suicide
11/10/2015,Pfaffikon,Suicide
11/14/2015,Pfaffikon,Suicide
11/19/2015,Pfaffikon,Suicide
12/16/2015,Ponte Bisantis,Suicide
02/02/2016,Chur,Other Accident
02/26/2016,Hindelbank,Drug-Related
03/27/2016,Jungfraujoch Mountain,Other Accident
04/06/2016,Liestal,Suicide
04/19/2016,Basel,Suicide
04/21/2016,Pfaffikon,Suicide
05/25/2016,Pfaffikon,Suicide
06/15/2016,Pfaffikon,Suicide
07/03/2016,Bütschwil-Ganterschwil -  St. Gallen,Undetermined/unknown
08/25/2016,Lauterbrunnen -  Bern,Other Accident
12/17/2016,Bern,Other Accident
12/26/2016,Zermatt -  Valais,Other Accident
01/08/2017,Tehran,Other Accident
05/12/2017,Geneva,Suicide
02/18/2018,Montreux -  Territet,Drowning



