Date,City,Cause of Death
01/05/2005,Aleppo -  Syria,Veh. Accident-Auto
07/29/2005,Aleppo -  Syria,Veh. Accident-Auto
04/23/2006,Deraa/damascus Highway -  Syria,Veh. Accident-Bus
05/01/2006, malki -  Damascus -  Syria,Veh. Accident-Bus
11/09/2007,Damascus-homs Highway -  Syria,Veh. Accid-Auto
07/23/2009,Damascus -  Syria,Other Accident
11/07/2010,Homs -  Syria -  Homs -  Syria,Veh. Accid-Auto
12/26/2011,Homs -  Syria,Homicide
08/19/2014,Syria,Terrorist Action
09/02/2014,Syria,Terrorist Action
02/07/2015,Syria,Hostage-related
07/09/2016,Manbij -  Manbij -  Aleppo Governorate,Armed Conflict
08/03/2016,Manbij -  Manbij -  Aleppo Governorate,Armed Conflict
08/12/2016,Manbij -  Manbij -  Aleppo Governorate,Armed Conflict
11/02/2016,Damascus,Undetermined/unknown
11/24/2016,Circa -  Manbij -  Aleppo Governorate,Armed Conflict
01/15/2017,Manbij,Armed Conflict
01/20/2017,Raqqa,Armed Conflict



