Date,City,Cause of Death
11/03/2002,Kaohsiung -  Taiwan,Veh. Accident-Motorcycle
11/04/2002,Taipei -  Taiwan,Suicide
11/12/2002,Tseng Tsu Road -  Kaohsiung -  Taiwan,Other Accident
11/16/2002,Kaohsiung -  Taiwan,Suicide
12/25/2002,Pingtung -  Taiwan,Veh. Accident-Auto
01/30/2003,Taipei -  Taiwan,Suicide
03/21/2003,Taipei -  Taiwan,Suicide
05/04/2003,Tamshui -  Taipei -  Taiwan,Suicide
10/02/2003,Tainan -  Taiwan,Other Accident
03/11/2004,Near #45 -  Aly 8 -  Gu Sung W. Ln. Pingtung -  Taiwan,Veh. Accident-Motorcycle
06/13/2004,Kaohisung -  Taiwan,Drowning
08/02/2004,Kaohsiung -  Taiwan,Other Accident
04/03/2005,¬†heng-tsun Town -  Pingtung City -  Taiwan,Veh. Accident-Motorcycle
05/05/2005,Taipea -  Taiwan,Other Accident
07/26/2005,Tamsui -  Taipei -  Taiwan,Veh. Accident-Motorcycle
10/21/2005,Chung Shan N. Road -  Taipei -  Taiwan,Other Accident
10/24/2005,Xinzhuang City -  Taiwan,Suicide
12/31/2005,Tainan -  Taiwan,Veh. Accident-Motorcycle
04/09/2006,¬†taipei -  Taiwan,Veh. Accident-Motorcycle
04/09/2006,¬†taipei -  Taiwan,Veh. Accident-Motorcycle
07/27/2006,Yung Ho City -  Taiwan,Suicide
06/30/2007,Chin Shui Park -  Kuang Shan -  Taitung -  Taiwan¬†,Air Accident
08/29/2007,Da An District -  Taipei -  Taiwan,Suicide
01/02/2008,Kaohsiung -  Taiwan,Suicide
02/05/2008,Pintung -  Taiwan -  Taiwan,Other Accident
03/15/2008,Taipei -  Taiwan,Other Accident
07/08/2008,Tansuie -  Taipei -  Taiwan,Suicide
07/16/2008,Hua-lian -  Taiwan,Other Accident
08/09/2008,Sha-shia Town -  Taipei Hsien -  Taiwan,Suicide
10/11/2008,Taipei -  Taiwan,Veh. Accid-Motorcy.
05/10/2009,Neihu Road -  Taipei -  Taiwan,Suicide
06/19/2009,Toufen -  Miaoli County -  Taiwan,Veh. Accid-Auto
02/08/2010,Taichung - Taiwan,Veh. Accid-Auto
03/06/2010,Taichung - Taiwan,Suicide
03/10/2010,Taipei - Taiwan,Suicide
03/23/2010,Taipei - Taiwan,Suicide
04/15/2010,Taipei County - Taiwan,Suicide
06/02/2010,Taipei City - Taiwan,Suicide
06/13/2010, Xin Yin Road - Taipei - Taiwan,Suicide
08/22/2010,Taipei -  Taiwan,Suicide
08/24/2010,Taichung -  Taiwan,Suicide
10/11/2010,Taipei -  Taiwan,Veh. Accid-Pedestr.
10/16/2010,Taipei -  Taiwan,Suicide
02/16/2011,Kaohsiung -  Taiwan,Veh. Accid-Motorcy.
03/21/2011,Tainan -  Taiwan,Veh. Accid-Motorcy.
04/04/2011,Pingtung -  Taiwan,Veh. Accid-Motorcy.
04/28/2011,Taipei -  Taiwan ,Other Accident
05/06/2011,Taipei -  Taiwan ,Suicide
07/25/2011,Taichung -  Taiwan,Suicide
08/13/2011,Taipei -  Taiwan,Suicide
01/25/2012,Pingdung County -  Taiwan,Vehicle Accident - Auto
03/24/2012,Tainan -  Taiwan,Suicide
04/01/2012,Hsinchu County -  Taiwan,Other Accident
05/03/2012,Taipei -  Taiwan,Suicide
05/30/2012,Taichung -  Taiwan,Other Accident
08/13/2012,Ping-Tung -  Taiwan,Other Accident
10/15/2012,Zhanghua City -  Changhua - Taiwan,Vehicle Accident - Auto
12/08/2012,Yilan City - Taiwan,Suicide
03/18/2013,New Taipei City -  Taiwan,Other Accident
03/19/2013,Taichung City - Taiwan,Veh. Accid-Train
04/02/2013,Green Island -  Taitung County -  Taiwan,Veh. Accid-Motorcy.
06/12/2013,Kaohsiung -  Taiwan,Veh. Accid-Auto
10/15/2013,At sea North Latitude 24° 56' -  East Longitude122° 03',Drowning
10/26/2013,Wanli -  New Taipei City -  Taiwan,Drowning
04/24/2014,Yuenli Town - Miaoli,Veh. Accid-Auto
07/12/2014,Taipei,Other Accident
08/18/2014,Taoyuan,Suicide
08/23/2014,New Taipei,Other Accident
10/11/2014, Wenshan District - Taipei,Veh. Accid-Pedestr.
02/04/2015,Nangang District -  Taipei,Air Accident
04/15/2015,Jiaoxi Village -  Yilan,Veh. Accid-Auto
04/27/2015,Dali District -  Taichung,Veh. Accid-Auto
07/02/2015,Taoyuan,Veh. Accid-Pedestr.
07/06/2015,Taipei City,Suicide
08/04/2015,Magong - Penghu,Suicide
08/15/2015,Zhubei - Hsinchu,Veh. Accid-Pedestr.
09/13/2015,Tainan,Other Accident
09/26/2015,Tainan,Veh. Accid-Motorcy.
10/15/2015,Taoyuan,Suicide
11/13/2015,Taipei,Suicide
11/29/2015,New Taipei,Suicide
01/16/2016,Hsinchu,Suicide
01/30/2016,Hsinchu,Veh. Accid-Pedestr.
04/12/2016,Changhua,Veh. Accid-Other
07/10/2016,Da'an District - Taipei,Veh. Accid-Pedestr.
08/26/2016,Zhongshan District -  Taipei,Other Accident
10/19/2016,Zuoying Dist. -  Kaohsiung,Suicide
11/02/2016,Yonghe District -  New Taipei,Suicide
12/29/2016,Linkou Dist -  New Taipei,Suicide
05/08/2017,Taoyuan,Other Accident
06/08/2017,Taipei,Suicide
06/16/2017,Taipei,Other Accident
07/15/2017,Taichung City,Veh. Accid-Pedestr.
08/12/2017,Tainan City,Veh. Accid-Motorcy.
11/15/2017,Taichung City,Drowning
12/01/2017,Hualien City -  Hulien County,Other Accident
01/10/2018,Magong City -  Penghu,Veh. Accid-Motorcy.
02/13/2018,Zhubei -  Hsinchu,Suicide
03/18/2018,Tamsui -  New Taipei,Suicide
04/16/2018,Tainan Special Municipality,Veh. Accid-Motorcy.
06/07/2018,Taichung Special Municipality,Other Accident



