Date,City,Cause of Death
10/19/2004,Near Oldonyosambu Village -  Tanzania,Veh. Accident- Bus
10/19/2004,Near Oldonyosambu Village -  Tanzania,Veh. Accident-Bus
10/22/2004,Dar Es Salaam -  Tanzania,Homicide
03/02/2005,Lake Tanganyika Near Kipili Village -  Sumbawanga -  Tanzania,Drowning
06/21/2005,Zanzibar -  Tanzania,Drug-Related
01/04/2006,Mount Kilimanjaro -  Tanzania,Disaster
03/02/2007,Kinondoni -  Dar Es Salaam  -  Tanzania,Drowning
07/26/2009,Korogwe - Tanga -  Tanzania,Veh. Accid-Bus
09/22/2009,Mbuji Litembo - Mbinga - Ruvuma -  Tanzania,Other Accident
09/29/2010,Serengeti -  Tanzania,Air Accident
10/07/2010,Dar Es Salaam -  Tanzania,Homicide
08/06/2012,Kibaya -  Tanzania,Vehicle Accident - Auto
09/13/2012,Arusha -  Tanzania,Drug-Related
03/29/2013,Dar Es Salaam -  Tanzania,Other Accident
05/01/2013,Dar Es Salaam -  Tanzania,Veh. Accid-Auto
08/31/2013,Manyara -  Arusha -  Tanzania,Other Accident
10/11/2013,Arusha -  Tanzania,Veh. Accid-Auto
04/01/2015,Dar Es Salaam,Drug-Related
05/24/2015,Mbeya,Veh. Accid-Bus
09/12/2015,Moshi-Kilimanjaro,Other Accident
10/03/2015,Dar Es Salaam,Homicide
02/19/2016,Hai-Kilimanjaro,Drowning
02/22/2016,Kilimanjaro,Other Accident
08/05/2017,Arusha,Other Accident
08/19/2017,Dar Es Salaam,Veh. Accid-Auto
11/11/2017,Zanzibar,Drowning



