Date,City,Cause of Death
10/06/2002,Ban Mor -  Muang -  Petchaburi -  Thailand,Veh. Accident-Motorcycle
10/11/2002,Petchkasem Road -  Ban Namjan Krabi Noi -  Muang -  Krabi -  Thailand,Veh. Accident-Motorcycle
11/02/2002,Bang Phli -  Sumut Prakan -  Thailand,Other Accident
11/08/2002,Dusit -  Bangkok -  Thailand,Suicide
11/23/2002,Banglamung -  Chonburi -  Thailand,Suicide
11/23/2002,Taling Ngam -  Koh Samui -  Surat Thani -  Thailand,Veh. Accident-Motorcycle
12/31/2002,Muang -  Krabi -  Thailand,Veh. Accident-Auto
12/31/2002,Muang -  Krabi -  Thailand,Veh. Accident-Auto
01/10/2003,Mueng -  Udornthani -  Thailand,Other Accident
01/15/2003,Phra Nakhon -  Bangkok -  Thailand,Drug-Related
03/08/2003,Banglamung -  Chonburi -  Thailand,Suicide
03/10/2003,Banglamung -  Chonburi -  Thailand,Other Accident
03/11/2003,Banglamung -  Chonburi -  Thailand,Suicide
03/19/2003,Nong Prue -  Bang Lamung -  Chonburi -  Thailand,Homicide
03/21/2003,Road In Soi Photisan -  Moo 5 -  Na Klua -  Banglamung -  Chonburi -  Thailand,Veh. Accident-Motorcycle
03/26/2003,On Chiang Mai - Lamphun Road -  A. Sarapee -  Chiang Mai -  Thailand,Veh. Accident-Motorcycle
04/07/2003,Hasadisewee Road -  A. Muang -  Chiang Mai -  Thailand,Veh. Accident-Motorcycle
05/08/2003,Chonburi -  Thailand,Veh. Accident-Motorcycle
06/06/2003,Sai Rop Ko Road -  Bor Phut -  Ko Samui -  Surat Thani -  Thailand,Veh. Accident-Motorcycle
07/16/2003,Chiang Mai -  Thailand,Veh. Accident-Motorcycle
07/20/2003,Banglamung -  Chonburi -  Thailand,Suicide
09/24/2003,Banglamung -  Chonburi -  Thailand,Suicide
11/17/2003,Chiang Mai -  Thailand,Veh. Accident-Motorcycle
12/11/2003,Bangkok -  Thailand,Suicide
12/18/2003,Phitsanulok -  Thailand,Veh. Accident-Motorcycle
12/25/2003,Bang Rak -  Bangkok -  Thailand,Drug-Related
12/28/2003,Patumwan -  Bangkok -  Thailand,Homicide
12/31/2003,Ang Thong -  Koh Samui -  Surat Thani -  Thailand,Drowning
01/11/2004,In Front Of Yakult Co. -  Ltd. -  Vibhavadi Rangsit Road -  Chatuchak -  Bangkok -  Thailand,Veh. Accident-Auto
