Date,City,Cause of Death
02/10/2003,Uriah Butler Highway -  Chagaunas -  Trinidad,Veh. Accident-Auto
02/19/2003,Stone Haven Bay -  Grafton Beach -  Tobago,Drowning
11/04/2003,Couva -  Trinidad,Veh. Accident-Auto
04/14/2006,Port Of Spain -  Trinidad And Tobago,Drug-Related
07/31/2006,Valencia -  Trindad And Tobago,Drowning
08/04/2006,Port Of Spain -  Trinidad And Tobago,Veh. Accident-Pedestrian
08/20/2006,San Fernado -  Trinidad And Tobago,Veh. Accident-Auto
11/17/2006,Port Of Spain -  Trinidad And Tobago,Veh. Accident-Auto
11/23/2007,Cocorite -  Port Of Spain -  Trinidad And Tobago,Homicide
03/24/2008,Caroni -  Trinidad And Tobago,Homicide
07/12/2008,Santa Cruz -  Trinidad,Other Accident
10/09/2008,Bon Accord -  Tobago,Homicide
10/09/2008,Scaraborough -  Tobago,Homicide
12/09/2008,Cocorite -  Trinidad,Veh. Accid-Auto
12/12/2009,Canaan - Tobago,Homicide
02/21/2010,Chagville Bay - Chaguaramas,Drowning
06/17/2010,Valencia - ,Veh. Accid-Auto
08/27/2010,Woodbrook -  Port Of Spain - Trinidad,Drug-Related
01/08/2011,Jones Town -  Arima -  Trinidad ,Homicide
07/31/2011,Chaguaramas -  Trinidad And Tobago,Drowning
09/12/2011,Maraval -  Trinidad And Tobago,Suicide
01/22/2012,Sangre Grande -  Trinidad and Tobago,Suicide
06/26/2012,Saint James -  Trinidad and Tobago,Homicide
12/02/2013,Guapo -  Trinidad and Tobago,Drowning
03/07/2014,Chaguanas,Veh. Accid-Auto
04/06/2014,Port Of Spain,Other Accident
05/11/2014,Port Of Spain,Homicide
09/08/2014,San Fernando,Homicide
01/17/2015,Scarborough,Drowning
06/05/2015,,Homicide
06/06/2015, Scarborough -  Tobago,Drowning
09/29/2015,Corner Of Graham Trace & Foster Road - Sangre Grande,Homicide
01/19/2016,Trincity,Veh. Accid-Auto
01/20/2016,Champs Fleurs,Veh. Accid-Auto



