Date,City,Cause of Death
10/15/2007,Gammarth -  Tunis -  Tunisia,Other Accident
10/15/2007,Gammarth -  Tunis -  Tunisia,Other Accident
02/13/2008,Nawael -  Sidi -  Bou -  Tunisia,Veh. Accid-Auto
03/21/2009,Sousse Palace -  Sousse,Other Accident
03/22/2009,Sousse Palace Hotel -  Sousse -  Sousse,Other Accident
04/12/2015,Polyclinique Elalya Sfax -  Sfax,Veh. Accid-Auto
12/13/2016,Teskraya -  Bizerte,Veh. Accid-Auto
04/29/2017,Misurata,Veh. Accid-Auto
05/31/2017,Kairouan,Veh. Accid-Auto
06/04/2017,Kairouan,Veh. Accid-Auto



