Date,City,Cause of Death
01/08/2003,Diyarbakir -  Turkey,Air Accident
01/08/2003,Diyarbakir -  Turkey,Air Accident
01/26/2003,Yalova -  Turkey,Suicide
01/17/2005,Istanbul -  Turkey,Homicide
07/03/2005,Tufanbeyli -  Adana -  Turkey,Veh. Accident-Auto
08/16/2005,Cerkez Highway -  Cankiri -  Turkey,Veh. Accident-Auto
08/01/2006,Afyon -  Turkey,Veh. Accident-Auto
06/26/2007,The Mediterranean Sea -  Kas -  Antalya -  Turkey,Drowning-Ocean
11/02/2007,Nearby Isparta Airport -  Isparta,Air Accident
07/24/2008,Samsun -  Turkey,Veh. Accid-Motorcy.
10/01/2008,Ankara -  Tukey,Other Accident
01/04/2009,Antalya -  Turkey,Other Accident
05/31/2010,International Waters -  Turkey,Homicide
06/01/2010,Duzce -  Turkey,Veh. Accid-Auto
07/12/2011,Orhangazi -  Bursi -  Turkey,Veh. Accid-Auto
07/29/2011,Bodrum -  Mugla -  Turkey,Homicide
07/19/2012,Manisa -  Turkey,Other Accident
08/02/2012,Izmir -  Turkey,Suicide
01/03/2013,Hatay -  Turkey,Homicide
01/20/2013,Istanbul -  Turkey,Veh. Accid-Pedestr.
01/21/2013,Istanbul -  Turkey,Homicide
02/10/2013,Istanbul -  Turkey,Suicide
02/10/2013,Istanbul -  Turkey,Suicide
02/11/2013,Istanbul -  Turkey,Suicide
05/12/2013,Alanya -  Turkey,Drowning
04/06/2014, Bodrum - Mugla,Homicide
05/21/2014,Istanbul,Veh. Accid-Train
10/19/2014,Sanliurfa,Veh. Accid-Auto
06/08/2015,Fatih -  Istanbul,Veh. Accid-Auto
07/09/2015,Antalya,Drug-Related
07/18/2015,Simav - Kutahya,Veh. Accid-Auto
07/21/2015,Erzincan,Other Accident
10/10/2015,Istanbul,Veh. Accid-Pedestr.
03/19/2016,Istanbul,Terrorist Action
03/19/2016,Istanbul,Terrorist Action
06/12/2016,Adana,Other Accident
06/14/2016,Ankara,Homicide
06/19/2016,Marmaris,Drowning
08/04/2016,Kartal -  Istanbul,Veh. Accid-Other
09/21/2017,Istanbul,Homicide



