Date,City,Cause of Death
04/17/2003,Al Ain -  United Arab Emirates,Other Accident
11/06/2005,Sharjah -  United Arab Emirates,Veh. Accident-Auto
01/22/2006,Dubai -  United Arab Emirates,Veh. Accident-Bus
08/18/2006,Dubai -  United Arab Emirates,Suicide
10/18/2006,Abu Dhabi -  United Arab Emirates,Homicide
11/28/2006,Dubai -  United Arab Emirates,Veh. Accident-Auto
04/27/2007,Dubai -  United Arab Emirates,Homicide
06/04/2007,Umm Al Quain -  United Arab Emirates,Veh. Accident-Auto
07/06/2007,Dubai -  United Arab Emirates,Veh. Accid-Motorcy.
09/14/2007,Hatta -  Hatta -  United Arab Emirates,Veh. Accid-Motorcy.
10/01/2007,Dubai -  United Arab Emirates,Veh. Accid-Auto
11/02/2007,Dubai -  United Arab Emirates,Suicide
11/03/2007,Umm Al Quwain -  United Arab Emirates,Drug-Related
11/17/2007,Damascus Street -  Al Quasais -  Dubai -  United Arab Emirates,Veh. Accid-Other
01/13/2008,Shk. Hamad Bin Hadan Al Nahyan Island - abu Dhabi -  United Arab Emirates,Drowning
02/27/2008,Abu Dhabi -  Unite Arab Emirates,Veh. Accid-Pedestr.
04/21/2008,Dubai -  United Arab Emirates,Other Accident
06/03/2008,Abu Dhabi -  United Arab Emirates,Air Accident
07/05/2008,Dubai -  United Arab Emirates,Veh. Accid-Auto
09/03/2008,Dubai -  United Arab Emirates,Air Accident
02/21/2009,Dubai -  United Arab Emirates,Suicide
07/05/2009,Abu Dhabi -  United Arab Emirates,Suicide
09/02/2009,Dubai -  United Arab Emirates,Drowning
09/03/2009,Dubai -  United Arab Emirates,Veh. Accid-Auto
04/06/2010,Dubai -  United Arab Emirates,Drowning
09/03/2010,Dubai -  Dubai -  United Arab Emirates,Air Accident
09/03/2010,Dubai - Dubai -  United Arab Emirates,Air Accident
09/21/2010,Abu Dhabi -  United Arab Emirates,Veh. Accid-Auto
10/23/2010,Fujairah -  United Arab Emirates,Drowning
12/14/2010,Abu Dhabi -  United Arab Emirates,Suicide
02/25/2011,Dubai -  United Arab Emirates,Drowning
02/27/2011,Al Ain -  Abu Dhabi Emirate -  United Arab Emirates,Air Accident
02/27/2011,Al Ain -  Abu Dhabi Emirate -  United Arab Emirates,Air Accident
02/27/2011,Al Ain -  Abu Dhabi Emirate -  United Arab Emirates,Air Accident
02/27/2011,Al Ain -  Abu Dhabi Emirate -  United Arab Emirates,Air Accident
04/28/2011,Al Kuwait Hospital -  Sharjah -  United Arab Emirates,Drowning
09/06/2011,Sharjah -  United Arab Emirates,Other Accident
11/12/2011,Dubai -  United Arab Emirates,Suicide
02/07/2012,Sharjah -  United Arab Emirates,Vehicle Accident - Auto
03/09/2012,Dubai -  United Arab Emirates,Other Accident
05/16/2012,Dubai -  United Arab Emirates,Drowning
08/08/2012,Dubai -  United Arab Emirates,Suicide
08/22/2012,Dubai -  United Arab Emirates,Suicide
09/06/2012,Ras Al Khaimah -  United Arab Emirates,Homicide
10/20/2012,Abu Dhabi -  United Arab Emirates,Vehicle Accident - Auto
11/11/2012,Dubai -  United Arab Emirates,Drowning
11/11/2012,Dubai -  United Arab Emirates,Drowning
12/30/2012,Abu Dhabi -  United Arab Emirates,Vehicle Accident - Auto
04/04/2013,Dubai -  United Arab Emirates,Veh. Accid-Motorcy.
04/27/2013,Dubai -  United Arab Emirates,Drug-Related
05/17/2013,Dubai -  United Arab Emirates,Other Accident
05/28/2013,Dubai -  United Arab Emirates,Suicide
06/09/2013,Sharjah -  United Arab Emirates,Suicide
10/15/2013,Jabal Ali -  Dubai -  United Arab Emirates,Air Accident
10/18/2013,Dubai -  United Arab Emirates,Suicide
09/09/2014,Dubai - Dubai,Veh. Accid-Auto
10/04/2014,Dubai,Veh. Accid-Motorcy.
12/01/2014,Al Reem Island - Abu Dhabi,Homicide
03/02/2015,Sharjah,Veh. Accid-Other
03/18/2015,Dubai,Suicide
11/05/2015,Abu Dhabi,Suicide
12/17/2015,Abu Dhabi,Suicide
12/30/2015,Yas Island -  Abu Dhabi,Veh. Accid-Auto
03/06/2016,Dubai,Veh. Accid-Auto
03/06/2016,Dubai,Veh. Accid-Auto
05/15/2016,Abu Dhabi,Air Accident
06/03/2016,Dubai,Suicide
10/15/2016,Dubai,Veh. Accid-Auto
11/20/2016,Dubai,Other Accident
05/26/2017,Abu Dhabi,Veh. Accid-Auto
07/11/2017,Dubai,Veh. Accid-Auto
07/28/2017,Abu Dhabi,Veh. Accid-Auto
02/08/2018,Dubai -  Dubai,Suicide
04/06/2018,Dubai -  Dubai,Homicide



