Date,City,Cause of Death
04/23/2004,Entebbe -  Uganda,Veh. Accident-Auto
04/29/2004,Kharkiv -  Ukraine,Suicide
07/29/2004,Kyiv -  Ukraine,Homicide
12/17/2004,Kyiv-kovel Road -  Near Village Of Svaryny -  Volodymyretsky Region -  Ukraine,Veh. Accident-Auto
08/25/2006,Pakwach -  Uganda,Veh. Accident-Auto
01/16/2007,Towey Hill Corner -  Kapchorwa,Veh. Accident-Auto
01/22/2007,Wandago- Mayuge Raitambogwe Sub-county -  Bunya County Busoga Province,Veh. Accident-Bus
01/22/2007,Wandago-mayuge -  Raitambogwe Sub County -  Bunya County -  Mayuge District -  Busoga Province,Veh. Accident-Bus
05/10/2007,Entebbe Road -  Kisubi -  Kampala Wakiso -  Uganda,Veh. Accident-Auto
05/26/2007,Kampala-entebbe Road -  Kampala -  Uganda ,Veh. Accident-Pedestrian
06/06/2009,Kasese District -  Uganda,Veh. Accid-Auto
07/11/2010,Kampala -  Kampala,Terrorist Action
10/13/2010,Kampala -  Kampala,Veh. Accid-Motorcy.
10/27/2011,Kakira -  Uganda,Veh. Accid-Auto
10/27/2011,Kakira -  Uganda,Veh. Accid-Auto
04/27/2013,Gulu Town -  Gulu -  Uganda,Veh. Accid-Pedestr.
05/02/2013,Kampala -  Uganda,Veh. Accid-Motorcy.
06/17/2013,Buvama -  Mpigi -  Uganda,Veh. Accid-Auto
06/17/2013,Nkozi -  Mpigi -  Uganda,Veh. Accid-Auto
01/29/2014,Tororo,Veh. Accid-Auto
03/28/2016,Kampala,Veh. Accid-Auto
03/28/2016,Kampala,Veh. Accid-Auto
12/26/2016,Nakavule -   Kampala,Veh. Accid-Bus
07/22/2017,Fort Portal -  Western Region,Other Accident



