Date,City,Cause of Death
10/02/2002,A64 Rd -  Barton Crossroads -  Malton -  Yorkshire -  England,Veh. Accident-Auto
10/06/2002,London -  England,Drug-Related
10/22/2002,Brailsford -  Derbyshire -  England,Suicide
11/01/2002,Harpenden -  Hertfordshire -  England,Suicide
11/03/2002,A72 Carlisle Road -  Ferniegair -  Scotland,Veh. Accident -Auto
01/31/2003,Westminster -  London -  England,Homicide
02/03/2003,Victoria Park -  London -  England,Homicide
02/20/2003,Edinburgh -  Scotland,Suicide
04/05/2003,Charing Cross -  London -  England,Veh. Accident-Pedestrian
06/09/2003,London -  England,Suicide
06/09/2003,Weardley -  Leeds -  England,Vehic. Accident- Other
06/14/2003,Queen Square -  Camden -  London -  England,Veh. Accident- Pedestrian
07/06/2003,Fulham Palace Road -  London -  England,Veh. Accident-Auto
08/01/2003,Wantage Road -  Newbury -  Berkshire -  England,Veh. Accident-Auto
09/02/2003,West Bridgford -  Nottingham -  England,Suicide
10/28/2003,London -  England,Suicide
01/15/2004,A429 Road -  Little Barrow -  Moreton In Marsh -  Gloucestershire -  England,Veh. Accident-Pedestrian
02/06/2004,Hills Road -  Cambridge -  England,Veh. Accident-Pedestrian
03/13/2004,B1107 Road -  Thetford -  Norfolk -  England,Veh. Accident-Auto
04/17/2004,London -  England,Suicide
05/05/2004,Lea -  Gainsborough -  England,Suicide
05/17/2004,Frenchay -  Bristol -  Avon -  England,Veh. Accident-Auto
06/08/2004,Newton -  Lancashire -  England,Suicide
07/01/2004,Lancaster Park Road -  Harrogate -  England,Veh. Accident - Auto
08/19/2004,Linwood -  Scotland,Suicide
09/06/2004,A3 Esher Common -  Surrey -  England,Veh. Accident - Motorcycle
09/14/2004,M25 -  Stapleford Tawney Between Junction 27 & 28 -  England,Veh. Accident-Auto
09/27/2004,Totteridge Lane -  London -  England,Veh. Accident-Pedestrian
10/27/2004,Redhill -  Surrey -  England,Veh. Accident-Pedestrian
01/21/2005,Oyne At Insch -  Aberdeenshire -  England,Other Accident
03/17/2005,Swansea -  Wales -  England,Veh. Accident-Auto
04/18/2005,Margate -  Kent -  England,Veh. Accident-Auto
04/18/2005,Margate -  Kent -  England,Veh. Accident-Auto
04/21/2005,Hatton -  Derbyshire -  England,Suicide
05/25/2005,A417 Cirencester To Gloucester Road Near Junction With Birdlip -  Gloucestershire -  England,Veh. Accident-Auto
06/22/2005,Stoke Mandeville -  Aylesbury -  Buckinghamshire -  England,Other Accident
07/04/2005,Burgess Hill -  West Sussex -  England,Suicide
07/07/2005,London -  England,Terrorist Action
08/06/2005,A5 At Churchbridge -  Staffordshire -  England,Veh. Accident-Auto
10/26/2005,A697 Greenlaw To Coldstream Road -  Berkwickshire -  Scotland,Veh. Accident-Auto
11/01/2005,London -  England -  Uk,Other Accident
11/20/2005,London -  England -  Uk,Suicide
01/03/2006,London -  England -  Uk,Suicide
01/03/2006,St Andrews -  Scotland -  Uk,Other Accident
03/30/2006,Cambridgeshire -  England -  Uk,Drowning
09/14/2006,Queen Square -  Wc 1n 3bg -  London -  England -  Uk,Veh. Accident-Auto
09/18/2006,London -  Nw 3 2qg -  England -  Uk,Veh. Accident-Pedestrian
11/14/2006,London -  Enland -  Uk,Other Accident
08/11/2007,White Chapel Road -  London -  England,Veh. Accid-Auto
09/22/2007,White Chapel Road -  London -  England,Veh. Accid-Auto
02/02/2008,Aberdeen -  England -  Uk,Drug-Related
02/16/2008,Gloucestershire -  England -  Uk,Other Accident
02/17/2008,London -  England -  Uk,Suicide
07/14/2008,London -  England -  United Kingdom,Veh. Accid-Motorcy.
09/12/2008,Memsie -  England -  United Kingdom,Veh. Accid-Auto
10/15/2008,Inveraray -  Scotland -  United Kingdom,Veh. Accid-Auto
12/14/2008,Edinburgh -  United Kingdom,Suicide
03/21/2009,Skewin -  Neath -  Wales -  United Kingdom,Other Accident
06/24/2009,Strath Dionard -  United Kingdom,Other Accident
08/22/2009,Silverstone -  Buckinghamshire -  United Kingdom,Air Accident
08/25/2009,London -  Untied kingdom,Suicide
09/10/2009,West Yorkshire -  United Kingdom,Veh. Accid-Other
09/14/2009,London -  United Kingdom,Other Accident
11/05/2009,Salisbury - Wiltshire -  United Kingdom,Veh. Accid-Auto
12/19/2009,Stoke On Trent -  United Kingdom,Veh. Accid-Auto
02/16/2010,Bracknell -  Berkshire -  United Kingdom,Veh. Accid-Other
03/24/2010,Tidworth - Wiltshire -  United Kingdom,Veh. Accid-Auto
04/10/2010, Harrow -  Middlesex -  United Kingdom,Veh. Accid-Train
07/23/2010,St Andrews -  United Kingdom,Suicide
08/18/2010,Edinburgh -  Scotland United Kingdom,Other Accident
08/18/2010,Edinburgh -  Scotland United Kingdom,Other Accident
08/18/2010,Edinburgh -  Scotland United Kingdom,Other Accident
09/03/2010,Wadworth -  Doncaster -  United Kingdom,Veh. Accid-Auto
09/06/2010,Guildford -  Surrey -  United Kingdom,Other Accident
10/13/2010,Lothian Road -  Edinburgh -  United Kingdom,Suicide
02/23/2011,Ealing -  West London -  London -  United Kingdom,Suicide
05/08/2011,Dundee -  Scotland -  United Kingdom,Veh. Accid-Auto
05/08/2011,Edinburgh -  Scotland -  United Kingdom,Other Accident
12/29/2011,Newport -  United Kingdom,Maritime Accident
01/03/2012,Shackleton's Hike -  British Overseas Territory Of South Georgia -  United Kingdom,Other Accident
02/03/2012,London -  United Kingdom,Other Accident
02/13/2012,Edinburgh -  United Kingdom,Other Accident
03/23/2012,Witney -  Oxfordshire -  United Kingdom,Other Accident
06/04/2012,Oxford -  United Kingdom,Vehicle Accident - Auto
06/04/2012,Oxford -  United Kingdom,Vehicle Accident - Auto
09/12/2012, Bathgate -  United Kingdom,Suicide
10/05/2012,Edinburgh -  United Kingdom,Vehicle Accident - Pedestrian
11/21/2012,London -  United Kingdom,Suicide
11/21/2012,London -  United Kingdom,Suicide
01/08/2013,Aviemore -  United Kingdom,Suicide
01/14/2013,Aberdeen -  United Kingdom,Other Accident
02/03/2013,Salisbury -  Wiltshire -  United Kingdom,Other Accident
04/20/2013,Gwynedd -  Wales -  United Kingdom,Other Accident
05/03/2013,Bothwell -  United Kingdom,Suicide
05/07/2013,London -  United Kingdom,Maritime Accident
05/10/2013,London -  United Kingdom,Other Accident
05/16/2013,South Hampton -  Hampshire -  United Kingdom,Veh. Accid-Auto
09/01/2013,Nottingham -  United Kingdom,Homicide
01/15/2014,Heywood -  Wiltshire,Suicide
01/26/2014,London,Suicide
03/07/2014, Lincolnshire,Suicide
03/07/2014,London,Veh. Accid-Auto
03/14/2014,London,Other Accident
06/22/2014,Aberdeenshire -  Scotland,Veh. Accid-Auto
07/06/2014,Brighton,Veh. Accid-Pedestr.
09/02/2014,Brighton,Suicide
09/07/2014,Hampton,Veh. Accid-Pedestr.
10/07/2014,Falkirk,Suicide
12/12/2014,Sheffield,Veh. Accid-Bus
12/23/2014,Tooting -  London,Other Accident
01/29/2015,The Scores -  St Andrews,Drowning
03/01/2015,Halifax -  West Yorkshire,Suicide
05/21/2015,Glasgow ,Veh. Accid-Auto
07/29/2015,Milton Keynes,Veh. Accid-Auto
07/31/2015,Hampshire,Air Accident
07/31/2015,Hampshire,Air Accident
08/14/2015,Ripon - North Yorkshire,Other Accident
09/03/2015,Gillingham - Kent,Suicide
09/24/2015,Milngavie -  Scotland,Suicide
03/07/2016,London,Veh. Accid-Auto
04/15/2016,London,Other Accident
05/01/2016,Devon,Other Accident
08/03/2016,London,Undetermined/unknown
09/30/2016,East Horsley -  Surrey,Suicide
03/22/2017,London,Terrorist Action
06/05/2017,Edinburgh,Other Accident
07/27/2017,London,Suicide
01/07/2018,Oban -  Argyll and Bute,Other Accident



