Date,City,Cause of Death
11/11/2002,Lvov -  Ukraine,Veh. Accident-Auto
01/22/2003,S. Nova Dolyna -  Ukraine,Veh. Accident-Auto
01/22/2003,S. Nova Dolyna -  Ukraine,Veh. Accident-Auto
01/22/2003,S. Nova Dolyna -  Ukraine,Veh. Accident-Auto
04/29/2004,Kharkiv -  Ukraine,Suicide
01/27/2006,Chernivtsy -  Ukraine,Veh. Accident
09/27/2007,Kyiv -  Ukraine,Homicide
04/05/2009,Crimean Autonomous Republic -  Ukraine,Homicide
06/01/2010,Odessa -  Ukraine,Homicide
09/26/2010,Novotroitsk -  Kherson Region -  Ukraine,Veh. Accid-Auto
04/11/2011,Kyiv -  Ukraine,Suicide
07/03/2011,Sevastopol -  Ukraine,Drowning
07/03/2012,Kharkiv -  Ukraine,Suicide
07/10/2012,Lviv -  Ukraine,Other Accident
08/31/2012,Izmail -  Ukraine,Other Accident
09/12/2012, Dniepropetrovsk -  Ukraine,Other Accident
01/18/2013,Kyiv -  Ukraine,Suicide
03/05/2013,Cherkassy -  Ukraine,Other Accident
09/05/2014,Khmilnyk -  Vinnytsya Region,Veh. Accid-Auto
08/27/2015,Chernivtsi,Other accident
08/07/2016,Kiev,Homicide
11/12/2016,Odessa,Suicide
01/28/2017,Kyiv,Unknown/Undetermined
04/17/2017,Lviv ,Unknown/Undetermined
04/23/2017,Luhansk ,Other Accident
06/23/2017,Kyiv,Homicide
07/05/2017,Kaniv-Chyhyryn-Kremenchuk ,Other Accident
03/04/2018,Lubny -  Poltava Oblast,Veh. Accid-Auto
04/01/2018,Odesa -  Odessa Oblast,Homicide



