Date,City,Cause of Death
10/24/2003,Montevideo -  Uruguay,Veh. Accident-Bus
02/25/2007,Cenaque -  Montevideo -  Uruguay,Veh. Accid
09/11/2007,Rambla Naciones Unidas -  Montevideo -  Uruguay,Suicide
01/05/2008,Public Area - montevideo -  Uruguay,Suicide
03/23/2009,Tiburcio Gomez 1692 -  Montevideo,Suicide
04/20/2009,Piriapolis -  Maldonado -  Uruguay,Other Accident
08/29/2009,La Paloma - Rocha -  Uruguay,Homicide
11/24/2009,Montevideo -  Uruguay,Veh. Accid-Auto
08/03/2011,Montevideo -  Uruguay,Drowning
04/03/2012,Punta Del Este -  Maldonado -  Uruguay,Suicide
04/14/2012,Canada Grande -  San Jose -  Uruguay,Vehicle Accident - Auto
02/09/2013,La Barra -  Maldonado -  Uruguay,Drowning
07/14/2013,Punta Del Diablo -  Rocha -  Uruguay,Homicide
10/28/2013,Maldonado -  Uruguay,Veh. Accid-Auto
10/28/2013,Maldonado -  Uruguay,Veh. Accid-Auto
11/21/2013,Sanatorio Americano -  Montevideo -  Uruguay,Veh. Accid- Auto
10/09/2014,Montevideo,Veh. Accid-Pedestr.
09/23/2015,Canelones,Veh. Accid-Auto
08/10/2016,Punta del Diablo -  Rocha,Suicide
09/16/2016,Colonia Del Sacramento -  Colonia,Homicide
01/14/2018,Montevideo -  Montevideo,Other Accident
02/01/2018,Maldonado -  Maldonado,Veh. Accid-Motorcy.



