Date,City,Cause of Death
11/02/2003,Maturin -  Monagas -  Venezuela,Other Accident
11/26/2003,Maracay -  Venezuela,Homicide
02/21/2004,Caracas -  Venezuela,Other Accident
02/21/2004,Los Palos Grandes -  Venezuela,Other Accident
03/17/2004,Caracas -  Venezuela,Other Accident
03/27/2004,Choroni -  Aragua -  Venezuela,Drowning - Beach
08/04/2004,Cabudare -  Estado Lara -  Venezuela,Homicide
08/05/2004,Isla Coche -  Estado Nueva Esparta -  Venezuela,Drowning
02/05/2005,Merida -  Venezuela,Drug-Related
02/19/2005,Vargas -  Venezuela,Suicide
09/15/2005,Centro De Especialidades Anzoategui-lecherias -  Venezuela,Veh. Accident-Auto
12/31/2005,Valencia -  Carabobo -  Venezuela,Veh. Accident-Auto
12/31/2005,Valencia -  Carabobo -  Venezuela,Veh. Accident-Auto
04/26/2006,Maracaibo -  Zulia -  Venezuela,Homicide
07/01/2007,Caracas Venezuela,Veh. Accid-Auto
07/28/2007,Guanare -  Estado Portuguesa -  Venezuela,Veh. Accid-Auto
10/29/2007,Boca De Caucagua -  Municipio Acevedo -  Estado Miranda -  Venezuela,Veh. Accid-Auto
02/15/2008,Pantaleta Beach -  Vargas -  Venezuela,Drowning-beach
02/22/2008,Municipio Elias -  Merida -  Venezuela,Air Accident
07/13/2008,Cumana -  Estado Sucre -  Venezuela,Homicide
09/23/2008,Ciudad Bolivar -  Bolivar -  Venezuela,Homicide
10/21/2008,Puerto Cabello -  Carabobo -  Venezuela,Homicide
11/01/2008,Vargas -  Venezuela,Homicide
11/08/2008,Puerto La Cruz -  Anzoategui -  Venezuela,Homicide
11/27/2008,Canaima -  Bolivar -  Venezuela,Other Accident
11/27/2008,Ciudad Bolivar -  Bolivar -  Venezuela,Other Accident
01/02/2009,Maracay -  Aragua -  Venezuela,Homicide
04/28/2009,Monagas -  Venezuela,Veh. Accid-Auto
06/22/2009,Anzoategui -  Venezuela,Homicide
07/01/2009,Porlamar - Nueva Esparta -  Venezuela,Homicide
07/30/2009,Caracas - Miranda -  Venezuela,Other Accident
12/23/2009,Caracas -  Venezuela,Veh. Accid-Auto
03/26/2010,Caracas - Miranda -  Venezuela,Suicide
04/29/2010,Puerto Ordaz - Bolivar -  Venezuela,Homicide
12/13/2010,Caracas -  Venezuela,Suicide
03/28/2011,Maturin -  Monagas State -  Venezuela,Veh. Accid-Auto
01/18/2012,Gran Sabana -  Bolivar -  Venezuela,Air Accident
01/18/2012,Gran Sabana -  Bolivar -  Venezuela,Air Accident
01/27/2012,Carupano -  Sucre -  Venezuela,Homicide
03/22/2012,Barquisimeto -  Lara -  Venezuela,Suicide
05/17/2012,San Francisco -  Bolivar -  Venezuela,Other Accident
03/15/2013,Baruta -  Miranda -  Venezuela,Suicide
08/31/2013,Sector Cayo Muerto -  Tucacas -  Falcon -  Venezuela,Drowning
01/06/2014,El Cambur - Carabobo,Homicide
06/24/2014,Porlamar - Nueva Estarta,Homicide
08/09/2015,Caracas,Homicide
08/08/2016,Plaza Venezuela -  Caracas -  Miranda,Homicide
12/19/2016,Ciudad Ojeda -  Z ulia,Suicide
03/11/2017,Caracas,Veh. Accid-Auto
11/17/2017,Ciudad Ojeda -  Zulia,Veh. Accid-Auto
11/20/2017,Maracaibo -  Zulia,Veh. Accid-Auto



