Date,City,Cause of Death
10/29/2002,District 1 -  Ho Chi Minh City -  Vietnam,Other Accident
12/28/2002,Van Ninh District -  Khanh Hoa Province -  Vietnam,Drowning
01/13/2003,District 1 -  Ho Chi Minh City -  Vietnam,Drug-Related
02/04/2003,Tphochiminh -  Vietnam,Suicide
02/06/2003,Hanoi -  Vietnam,Drug-Related
03/07/2003,Ho Chi Minh City -  Vietnam,Veh. Accident-Other
04/07/2003,Hue -  Vietnam,Suicide
04/27/2003,Cam Ranh -  Khanh Hoa Province -  Vietnam,Other Accident
06/30/2003,Tam Duong -  Lai Chau -  Vietnam,Natural Disaster
07/26/2003,Nguyen Chi Thanh -  District 5 -  Vietnam,Veh. Accident-Other
01/03/2004,Uong Bi -  Quang Ninh -  Vietnam,Veh. Accident-Auto
02/10/2004,Vietnam,Veh. Accident-Motorcycle
02/21/2004,Vietnam,Veh. Accident-Other
03/16/2004,Sa Pa -  Lao Cai -  Vietnam,Other Accident
05/16/2004,Phuoc Hung Island -  Long Thanh District -  Dong Nai Province -  Vietnam,Drowning
06/04/2004,Bao Thi Village -  Xuan Dinh Commune -  Xuan Loc District -  Dong Nai Province -  Vietnam,Veh. Accident-Auto
06/04/2004,Bao Thi Village -  Xuan Dinh Commune -  Xuan Loc District -  Dong Nai Province -  Vietnam,Veh. Accident-Auto
10/16/2004,Ho Chi Minh City -  Vietnam,Veh. Accident
02/17/2005,Hanoi -  Vietnam,Drowning
02/25/2005,Saigon River -  Hamlet 3 -  An Loi Dong Precinct -  District 2 -  Ho Chi Minh City -  Vietnam,Drowning
04/28/2005,Highway No. 1 -  Xuan Tanh Village -  Thong Nhat District -  Dong Nai Province -  Vietnam,Veh. Accident-Motorcycle
05/20/2005,Ho Chi Minh City -  Vietnam,Veh. Accident-Motorcycle
05/23/2005,786 Nguyen Kiem -  Ward 3 -  Go Vap District -  Ho Chi Minh City -  Vietnam,Veh. Accident-Motorcycle
06/18/2005,Ho Chi Minh City -  Vietnam,Suicide
06/28/2005,Nho Trach District -  Dong Nai Province -  Vietnam,Veh. Accident-Motorcycle
08/01/2005,Phu Tan Hamlet -  Phu Dong Commune -  Nhon Trach District -  Dong Nai Province -  Vietnam,Drowning
11/23/2005,Nha Trang -  Vietnam,Veh. Accident-Pedestrian
01/26/2006, 201b Nguyen Chi Thanh -  Quan 5 -  Tp.ho Chi Minh -  Vietnam.,Veh. Accident-Motorcycle
05/07/2006,Vinh Luong -  Nha Trang City -  Khanh Hoa Province -  Vietnam.,Veh. Accident
07/03/2006,An Nghia Hamlet -  Vietnam,Suicide
02/10/2007, binh Dinh Province -  Binh Dinh -  Vietnam,Veh. Accident-Train
02/10/2007, binh Dinh Province -  Binh Dinh -  Vietnam,Veh. Accident-Train
02/20/2007,Tan Xuan -  Bau Chinh -  Ba Ria-vung Tau -  Vietnam,Veh. Accident-Auto
02/22/2007,33 To 2a -  Ap Bao Vinh A -  Za Bao Vinh -  Thi Xa Long Khanh -  Dong Nai ,Veh. Accid
05/08/2007,Cam Nghia Ward -  Cam Ranh Commune -  Khanh Hoa,Veh. Accident-Motorcycle
05/17/2007,Loc Tien Phu Loc -  Thua Thien Hue -  Vietnam,Veh. Accident-Motorcycle
06/02/2007,Loc Tien -  Phu Loc -  Thua Thien Hue -  Vietnam,Other Accident
06/16/2007,Tan Xuan -  Bau Chinh -  Ba Ria-vung Tau -  Vietnam,Other Accident
08/25/2007,Ba Ria-vun Tau - vietnam,Drowning-Ocean
10/10/2007,Ho Chi Minh City -  Vietnam,Homicide
10/11/2007,Ho Chi Minh City -  Vietnam,Veh. Accid-Motorcy.
11/13/2007,Vinh Luong -  Vietnam.,Veh. Accid-Motorcy.
12/12/2007,Vung Tau -  Ba Ria-vung Tau -  Vietnam,Veh. Accid-Motorcy.
