Date,City,Cause of Death
12/30/2002,Jibla -  Yemen,Homicide
12/30/2002,Jibla -  Yemen,Homicide
12/30/2002,Jibla -  Yemen,Homicide
03/18/2003,Marib -  Yemen,Homicide
02/26/2004,Ibb -  Yemen,Veh. Accident-Auto
12/09/2004,Juban -  Yemen,Homicide
12/12/2004,Ibb -  Yemen,Veh. Accident-Auto
08/30/2005,Sanaa -  Yemen,Drowning
11/09/2005,Radda -  Yemen,Veh. Accident-Auto
11/09/2005,Radda -  Yemen,Veh. Accident-Auto
03/30/2006,Sanaa -  Yemen,Veh. Accident-Auto
11/10/2007,Sana'a -  Sana'a Yemen,Veh. Accid-Auto
03/13/2008,Al-mukalla -  Yeman,Other Accident
09/17/2008,Sanaa -  Yemen,Terrorist Action
05/05/2009,Sana'a -  Yemen,Drowning
05/18/2009,Al-manar  -  Ibb,Veh. Accid-Auto
08/17/2009,,Other Accident
09/19/2009,Juban - Aldhalea -  Yemen,Veh. Accid-Auto
09/20/2009,Juban - Aldhalea -  Yemen,Veh. Accid-Auto
01/20/2012,Sanaa -  Yemen,Homicide
03/18/2012,Taiz -  Yemen,Homicide
10/01/2012,Aden -  Yemen,Homicide
10/01/2012,Aden -  Yemen,Homicide
01/25/2013,Radaa City -  Albaidha -  Yemen,Homicide
05/27/2013,Aden -  Yemen,Homicide
08/23/2013,Sanaa -  Yemen,Veh. Accid-Auto
08/07/2014,Sanaa City -  AlJarda Zone,Homicide
09/19/2014,Juban City,Homicide
08/21/2015,Ibb,Other Accident
11/06/2015,Sana'a,Homicide



