Date,City,Cause of Death
02/02/2003,Chavuma -  Zambia,Natural Disaster
04/08/2005,Livingstone -  Zambia,Drowning
04/08/2005,Livingstone -  Zambia,Drowning
11/18/2005,Kitwe -  Zambia,Other Accident
12/27/2005,Kabwe -  Zambia,Veh. Accident-Auto
04/05/2007,Eastern Province -  Zambia,Veh. Accident-Auto
06/11/2007,Kabwe Road Kabwe -  Zambia,Veh. Accident-Auto
01/04/2009,Solwezi -  Northwestern Province,Homicide
08/09/2010,Mumbwa -  Central Province -  Zambia,Veh. Accident-Auto
05/30/2011,Victoria Falls -  Livingstone -  Southern Province -  Zambia,Other Accident
06/02/2012,Zambezi -  Zambia,Air Accident
06/02/2012,Zambezi -  Zambia,Air Accident
06/24/2012,Lusaka -  Zambia,Vehicle Accident - Auto
09/07/2013,Lusaka -  Zambia,Veh. Accid-Auto
11/26/2015,Lusaka,Veh. Accid-Pedestr.
10/11/2016,Mumbwa -  Central Province,Other Accident
12/26/2017,Luanshya -  Copperbelt Province,Veh. Accid-Auto



