Date,City,Cause of Death
11/11/2002,Mutare -  Zimbabwe,Homicide
08/04/2003,Mana Pools -  Zimbabwe,Drowning
08/27/2003,Victoria Falls Airport Road -  Victoria Falls -  Zimbabwe,Veh. Accident-Auto
09/21/2006,Chenje Camp - Chewore South -  Zimbabwe,Other Accident-fall
08/11/2007,Rolf Avenue -  Greystone Park -  Harare -  Zimbabwe,Veh. Accid-Auto
07/19/2008,Marlborough -  Harare -  Zimbabwe,Veh. Accid-Auto
08/09/2009,Mount Pleasant -  Harare -  Zimbabwe,Veh. Accid-Motorcy.
12/06/2013,Mbembesi -  Zimbabwe,Veh. Accid-Auto
03/07/2015,Burnside -  Bulawayo -  Matebeleland,Veh. Accid-Auto
12/27/2015,Norton,Veh. Accid-Other



