Index,Date,City,Cause of Death,Country
0,10/25/2003,Shkin -  Afghanistan,Terrorist Action,Afghanistan
1,10/25/2003,Shkin -  Afghanistan,Terrorist Action,Afghanistan
2,8/29/2004,Kabul -  Afghanistan,Terrorist Action,Afghanistan
3,8/29/2004,Kabul -  Afghanistan,Terrorist Action,Afghanistan
4,8/29/2004,Kabul -  Afghanistan,Terrorist Action,Afghanistan
5,10/23/2004,Kabul -  Afghanistan,Terrorist Action,Afghanistan
6,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,Afghanistan
7,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,Afghanistan
8,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,Afghanistan
9,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,Afghanistan
10,2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,Afghanistan
11,2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,Afghanistan
12,2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,Afghanistan
13,2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,Afghanistan
14,2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,Afghanistan
15,2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,Afghanistan
16,4/6/2005,Ghazni -  Afghanistan,Air Accident,Afghanistan
17,4/6/2005,Ghazni -  Afghanistan,Air Accident,Afghanistan
18,4/6/2005,Ghazni -  Afghanistan,Air Accident,Afghanistan
19,4/23/2005,Ghazni -  Afghanistan,Vehicle Accident,Afghanistan
20,6/1/2005,Kandahar -  Afghanistan,Terrorist Action,Afghanistan
21,6/25/2005,Bagram Air Base -  Afghanistan,Suicide,Afghanistan
22,1/1/2005,Hassi Messaoud -  Ouargla -  Algeria,Suicide,Algeria
23,12/20/2005,Cabinda -  Angola,Suicide,Angola
24,1/12/2007,Alvalade Clinic -  Luanda -  Luanda,Homicide,Angola
25,3/4/2003,Rio Chimehuin -  Junin De Los Andes -  Argentina,Drowning,Argentina
26,3/9/2003,Gualeguaychu -  Entre Rios -  Argentina,Other Accident,Argentina
27,6/3/2003,Vicente Lopez -  Buenos Aires -  Argentina,Homicide,Argentina
28,8/27/2003,Buenos Aires -  Argentina,Vehicle Accident,Argentina
29,2/4/2004,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Other Accident,Argentina
30,9/14/2004,Valle De Las Lenas -  Mendoza -  Argentina,Other Accident,Argentina
31,7/23/2005,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Vehicle Accident,Argentina
32,10/17/2005,Cerro Mercedario -  San Juan -  Argentina,Other Accident,Argentina
33,12/2/2005,Rosario -  Santa Fe -  Argentina,Train Accident,Argentina
34,1/22/2006,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Other Accident,Argentina
35,3/6/2006,Tunuyan -  Mendoza -  Argentina,Vehicle Accident,Argentina
36,4/23/2006,San Luis -  Argentina,Vehicle Accident,Argentina
37,1/9/2007,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Drowning,Argentina
38,4/6/2007,Buenos Aires -  Argentina,Other Accident,Argentina
